# time(s) T(K) rho(g/cm^3) p_central(dyne/cm^2) epsilon_nuc epsilon_nu epsilon_gravity t_heat t_dyn X_c12 X_o16 X_p X_he4 X_ne20 X_na23 X_mg24
0.000000e+00 1.000000e+08 1.075000e+08 2.376367e+25 0.000000e+00 0.000000e+00 5.536847e+08 0.000000e+00 3.733300e-01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.981591e+03 1.006515e+08 1.075000e+08 2.376426e+25 -5.836114e-25 4.894036e+00 7.162288e+08 1.532052e+06 3.733300e-01 5.000000e-01 5.000000e-01 1.180034e-43 6.104186e-43 3.052093e-42 2.714078e-42 1.167934e-58
1.009182e+06 1.650092e+08 1.075021e+08 2.386227e+25 -8.587094e-25 5.328740e+00 7.075504e+08 1.562687e+06 3.733264e-01 5.000000e-01 5.000000e-01 1.748188e-41 9.042091e-41 4.521046e-40 4.020833e-40 1.921794e-56
2.008382e+06 2.210327e+08 1.078446e+08 2.395749e+25 -4.699006e-13 1.221418e+03 6.835397e+08 2.943002e+06 3.727331e-01 5.000000e-01 5.000000e-01 9.554271e-30 4.891375e-29 2.447024e-28 2.197482e-28 1.650192e-41
3.007582e+06 2.711336e+08 1.081764e+08 2.404599e+25 -5.403283e-07 1.331561e+04 6.638005e+08 4.408223e+06 3.721611e-01 5.000000e-01 5.000000e-01 1.110572e-23 5.204044e-23 2.827265e-22 2.554316e-22 4.263981e-33
4.006782e+06 3.169362e+08 1.084796e+08 2.412360e+25 -3.943894e-03 5.453377e+04 6.497367e+08 5.914881e+06 3.716406e-01 5.000000e-01 5.000000e-01 8.664750e-20 1.021233e-19 2.208502e-18 1.992893e-18 2.520595e-24
5.005982e+06 3.592378e+08 1.087352e+08 2.420122e+25 -2.543109e+00 1.427205e+05 6.362956e+08 7.486295e+06 3.712035e-01 5.000000e-01 5.000000e-01 5.364112e-17 5.712999e-18 1.537063e-15 1.233746e-15 4.644151e-18
6.005182e+06 3.985790e+08 1.089908e+08 2.427883e+25 5.857223e+01 2.907620e+05 6.228937e+08 9.124041e+06 3.707680e-01 5.000000e-01 5.000000e-01 2.402489e-15 1.097265e-16 3.602935e-13 5.525724e-14 5.595005e-14
7.004382e+06 4.353638e+08 1.092464e+08 2.435645e+25 -7.513412e+01 5.065402e+05 6.095309e+08 1.082676e+07 3.703339e-01 5.000000e-01 5.000000e-01 1.117888e-14 5.906654e-16 2.445464e-11 2.571143e-13 3.840463e-12
8.003582e+06 4.699041e+08 1.095020e+08 2.443407e+25 9.416875e+01 7.941532e+05 5.962071e+08 1.259443e+07 3.699014e-01 5.000000e-01 5.000000e-01 3.985123e-14 2.125879e-15 6.831025e-10 9.165784e-13 9.363759e-11
9.002782e+06 5.024469e+08 1.097577e+08 2.451168e+25 3.141964e+03 1.155045e+06 5.829221e+08 1.442801e+07 3.694704e-01 5.000000e-01 5.000000e-01 1.166881e-13 6.383332e-15 1.096203e-08 2.683827e-12 1.338173e-09
1.000198e+07 5.331931e+08 1.100133e+08 2.458930e+25 3.103303e+04 1.588835e+06 5.696758e+08 1.632870e+07 3.690409e-01 4.999999e-01 5.000000e-01 2.934284e-13 1.705358e-14 1.177771e-07 6.748854e-12 1.294401e-08
1.100118e+07 5.623154e+08 1.102689e+08 2.466692e+25 2.304256e+05 2.093947e+06 5.564682e+08 1.829410e+07 3.686130e-01 4.999993e-01 4.999997e-01 6.541174e-13 4.155539e-14 9.295701e-07 1.504470e-11 9.251365e-08
1.200038e+07 5.899957e+08 1.105245e+08 2.474453e+25 1.336489e+06 2.668432e+06 5.432992e+08 2.029840e+07 3.681864e-01 4.999959e-01 4.999978e-01 1.324164e-12 9.376718e-14 5.745865e-06 3.045577e-11 5.199690e-07
1.299958e+07 6.165405e+08 1.107802e+08 2.482215e+25 6.402318e+06 3.312343e+06 5.301685e+08 2.220860e+07 3.677614e-01 4.999798e-01 4.999885e-01 2.486603e-12 1.988870e-13 2.924931e-05 5.719187e-11 2.414680e-06
1.399878e+07 6.427669e+08 1.110358e+08 2.489976e+25 2.675656e+07 4.036539e+06 5.170762e+08 2.348961e+07 3.673378e-01 4.999121e-01 4.999491e-01 4.451217e-12 4.069719e-13 1.290961e-04 1.023780e-10 9.739633e-06
1.499798e+07 6.718510e+08 1.112914e+08 2.496947e+25 1.083775e+08 4.899263e+06 5.098931e+08 2.208260e+07 3.669157e-01 4.996368e-01 4.997865e-01 8.078570e-12 8.651928e-13 5.397035e-04 1.858071e-10 3.707247e-05
1.599718e+07 7.280745e+08 1.115128e+08 2.503891e+25 7.273692e+08 6.321921e+06 5.032430e+08 1.194009e+07 3.665513e-01 4.977816e-01 4.986726e-01 2.264047e-11 3.353960e-12 3.346072e-03 5.207309e-10 1.998271e-04
1.613722e+07 1.163976e+09 1.117331e+08 2.510836e+25 7.427210e+10 9.703887e+06 4.966189e+08 2.339024e+05 3.661898e-01 4.744791e-01 4.841664e-01 2.259870e-09 3.282265e-09 3.976305e-02 5.197701e-08 1.591496e-03
1.613722e+07 1.956824e+09 1.117639e+08 2.504929e+25 2.617679e+16 6.528442e+07 5.002934e+08 1.594666e+00 3.661392e-01 4.155001e-01 4.533875e-01 3.004165e-07 1.123671e-05 1.171640e-01 6.909579e-06 1.393003e-02
