# time(s) T(K) rho(g/cm^3) p_central(dyne/cm^2) epsilon_nuc epsilon_nu epsilon_gravity cv  t_heat t_dyn X_c12 X_o16 X_p X_he4 X_ne20 X_na23 X_mg24
0.000000e+00 6.999952e+05 9.840000e+08 4.758603e+26 0.000000e+00 0.000000e+00 4.002111e+10 1.785719e+07 0.000000e+00 1.233956e-01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.981591e+03 4.373728e+07 9.84000000e+08 4.763492e+26 0.000000e+00 0.000000e+00 3.923655e+10  9.100090e+061.623491e+02 1.233956e-01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.008144e+04 4.414998e+07 9.84755151e+08 4.763541e+26 -1.117849e-48 2.397424e-03 3.916855e+10  9.476822e+061.058223e+04 1.233483e-01 5.000000e-01 5.000000e-01 2.242167e-69 1.176424e-68 5.882122e-68 5.156984e-68 4.380951e-91
2.006303e+04 8.456187e+07 9.84762705e+08 4.768430e+26 -2.339897e-48 2.538193e-03 3.838289e+10  9.480434e+061.090488e+04 1.233478e-01 5.000000e-01 5.000000e-01 4.716143e-67 2.474116e-66 1.237058e-65 1.084713e-65 1.120914e-88
3.004463e+04 1.226638e+08 9.85517856e+08 4.773320e+26 -1.849534e-28 1.328798e-01 3.753854e+10  9.834002e+062.215274e+04 1.233005e-01 5.000000e-01 5.000000e-01 3.733147e-47 1.937099e-46 9.685493e-46 8.586237e-46 2.219406e-63
4.002622e+04 1.599118e+08 9.86273006e+08 4.778535e+26 -6.773686e-19 1.314756e+00 3.794058e+10  1.016718e+073.287100e+04 1.232533e-01 5.000000e-01 5.000000e-01 1.372624e-37 7.072752e-37 3.536377e-36 3.157035e-36 3.365460e-51
5.000781e+04 1.972873e+08 9.87076871e+08 4.784000e+26 -8.830141e-13 1.152487e+01 3.928934e+10  1.049270e+074.270641e+04 1.232031e-01 5.000000e-01 5.000000e-01 1.794664e-31 9.198524e-31 4.599392e-30 4.127726e-30 2.019583e-43
5.998940e+04 2.347754e+08 9.87917941e+08 4.789465e+26 -2.577995e-08 1.752257e+02 4.063371e+10  1.081915e+075.252981e+04 1.231506e-01 5.000000e-01 5.000000e-01 5.253007e-27 2.677823e-26 1.340460e-25 1.208192e-25 9.473539e-38
6.997099e+04 2.711000e+08 9.88759010e+08 4.794576e+26 -7.467642e-05 1.686126e+03 4.056356e+10  1.114640e+076.451359e+04 1.230983e-01 5.000000e-01 5.000000e-01 1.527909e-23 7.613151e-23 3.884794e-22 3.514190e-22 3.650300e-33
7.995258e+04 3.050080e+08 9.89544526e+08 4.799299e+26 -3.786384e-02 9.024025e+03 3.894158e+10  1.146335e+077.980454e+04 1.230494e-01 5.000000e-01 5.000000e-01 7.879246e-21 3.312586e-20 1.999724e-19 1.812227e-19 1.908300e-27
8.993417e+04 3.366919e+08 9.90268808e+08 4.804021e+26 -4.906673e+00 3.120781e+04 3.732618e+10  1.175909e+079.608857e+04 1.230044e-01 5.000000e-01 5.000000e-01 1.052629e-18 2.026207e-18 2.774026e-17 2.421047e-17 1.136972e-22
9.991576e+04 3.663103e+08 9.90993091e+08 4.808743e+26 -2.730987e+02 8.126623e+04 3.571233e+10  1.203526e+071.134674e+05 1.229594e-01 5.000000e-01 5.000000e-01 5.521317e-17 2.197367e-17 1.746462e-15 1.269903e-15 7.767670e-19
1.098974e+05 3.952929e+08 9.91717373e+08 4.813565e+26 -2.785381e+03 1.741690e+05 3.569491e+10  1.229327e+071.261573e+05 1.229145e-01 5.000000e-01 5.000000e-01 1.379027e-15 1.167193e-16 5.884851e-14 3.171762e-14 1.039654e-15
1.198789e+05 4.238411e+08 9.92454640e+08 4.818400e+26 2.681812e+03 3.334246e+05 3.588187e+10  1.254559e+071.382099e+05 1.228689e-01 5.000000e-01 5.000000e-01 9.819979e-15 5.192136e-16 1.495963e-12 2.258595e-13 1.736673e-13
1.298605e+05 4.519805e+08 9.93193580e+08 4.823235e+26 -1.397283e+04 5.864660e+05 3.606851e+10  1.279401e+071.503449e+05 1.228231e-01 5.000000e-01 5.000000e-01 2.720672e-14 1.448641e-15 2.344105e-11 6.257545e-13 3.189776e-12
1.398421e+05 4.792480e+08 9.93932520e+08 4.827686e+26 1.193017e+04 9.639558e+05 3.561991e+10  1.303874e+071.654528e+05 1.227775e-01 5.000000e-01 5.000000e-01 6.782365e-14 3.645537e-15 2.555860e-10 1.559944e-12 3.282374e-11
1.498237e+05 5.048724e+08 9.94620186e+08 4.831476e+26 6.879345e+04 1.488368e+06 3.408263e+10  1.327583e+071.866840e+05 1.227350e-01 5.000000e-01 5.000000e-01 1.536435e-13 8.521029e-15 2.122852e-09 3.533801e-12 2.515041e-10
1.598053e+05 5.289424e+08 9.95219555e+08 4.835265e+26 3.471440e+05 2.159747e+06 3.255295e+10  1.349862e+072.093653e+05 1.226981e-01 5.000000e-01 5.000000e-01 3.140275e-13 1.836367e-14 1.355857e-08 7.222634e-12 1.483110e-09
1.697869e+05 5.515326e+08 9.95818924e+08 4.839055e+26 1.615072e+06 2.981211e+06 3.102457e+10  1.370777e+072.337160e+05 1.226611e-01 5.000000e-01 5.000000e-01 5.890913e-13 3.691645e-14 6.966220e-08 1.354910e-11 7.059543e-09
1.797685e+05 5.727105e+08 9.96418292e+08 4.842845e+26 6.403606e+06 3.949890e+06 2.949746e+10  1.390394e+072.599491e+05 1.226242e-01 4.999998e-01 4.999999e-01 1.027841e-12 6.976813e-14 2.983761e-07 2.364035e-11 2.811767e-08
1.897501e+05 5.942789e+08 9.97017661e+08 4.847345e+26 2.194566e+07 5.057824e+06 3.042426e+10  1.408776e+072.650428e+05 1.225874e-01 4.999992e-01 4.999996e-01 1.685820e-12 1.247327e-13 1.095253e-06 3.877388e-11 9.633714e-08
1.997317e+05 6.165160e+08 9.97703906e+08 4.851958e+26 7.252640e+07 6.411425e+06 3.173558e+10  1.427486e+072.667546e+05 1.225452e-01 4.999974e-01 4.999985e-01 2.723099e-12 2.221073e-13 3.764919e-06 6.263129e-11 3.083551e-07
2.097133e+05 6.394702e+08 9.98403987e+08 4.856571e+26 2.345874e+08 8.075713e+06 3.304487e+10  1.446801e+072.680910e+05 1.225022e-01 4.999915e-01 4.999950e-01 4.363874e-12 3.970991e-13 1.251772e-05 1.003691e-10 9.511342e-07
2.196949e+05 6.631869e+08 9.99104067e+08 4.861191e+26 7.472805e+08 1.012070e+07 3.411532e+10  1.466830e+072.691326e+05 1.224593e-01 4.999725e-01 4.999838e-01 6.963092e-12 7.157489e-13 4.076421e-05 1.601511e-10 2.862617e-06
2.296764e+05 6.873044e+08 9.99803788e+08 4.865272e+26 2.373303e+09 1.265125e+07 3.358787e+10  1.487811e+072.744750e+05 1.224164e-01 4.999120e-01 4.999478e-01 1.116403e-11 1.315890e-12 1.316037e-04 2.567728e-10 8.504134e-06
2.396580e+05 7.141328e+08 1.00042705e+09 4.869127e+26 7.629859e+09 1.581891e+07 3.297313e+10  1.510058e+072.557137e+05 1.223783e-01 4.997170e-01 4.998305e-01 1.834319e-11 2.534560e-12 4.271949e-04 4.218936e-10 2.527444e-05
2.496396e+05 7.563885e+08 1.00102120e+09 4.872982e+26 3.280182e+10 2.077555e+07 3.236083e+10  1.538776e+071.686918e+05 1.223420e-01 4.988753e-01 4.993182e-01 3.772367e-11 6.748492e-12 1.716134e-03 8.676445e-10 9.034985e-05
2.532473e+05 1.181373e+09 1.00161535e+09 4.874376e+26 1.867292e+12 3.341709e+07 3.211529e+10  1.612371e+076.420952e+03 1.223057e-01 4.833673e-01 4.895755e-01 2.977511e-09 5.212504e-09 2.617083e-02 6.848275e-08 8.863503e-04
